Reittitunnus	Nimi	Japi_id	Pono	Jakelukohde	Elementtinumero	KRD_Vyohyke	I_koordinatti	P_koordinatti	Japityyppi	Matkajapille	Hissi	Kerros	jnro	Jakti Internal Sequence
6210010	Höyläkuja 1 A 3	1695566	62100	703815	244766	3	3296976	6990782	4071	0			3080	20
6210010	Höyläkuja 1 A 2	1695565	62100	703815	244766	3	3296976	6990782	4071	0			3090	21
6210010	Höyläkuja 1 A 1	1695564	62100	703815	244766	3	3296976	6990782	4071	0			3100	22
6210010	Höyläkuja 6	1695586	62100	703815	244766	3	3296976	6990782	4071	0			3110	23
6210010	Lankkutie 3 A 1	5003081	62100	3436633	244766	3	3296935	6990599	4071	0			3130	1
6210010	Lankkutie 3 A 2	5003082	62100	3436633	244766	3	3296935	6990599	4071	0			3140	2
6210010	Lankkutie 3 A 3	5003083	62100	3436633	244766	3	3296935	6990599	4071	0			3150	3
6210010	Lankkutie 3 A 4	5003084	62100	3436633	244766	3	3296935	6990599	4071	0			3160	4
6210010	Lankkutie 5 A 4	5447509	62100	3565666	244766	3	3296984	6990597	4071	0			3180	1
6210010	Lankkutie 5 A 3	5464327	62100	3565666	244766	3	3296984	6990597	4071	0			3190	2
6210010	Lankkutie 5 A 2	5546506	62100	3565666	244766	3	3296934	6990581	4071	0			3200	1
6210010	Lankkutie 5 A 1	5546505	62100	3565666	244766	3	3296934	6990581	4071	0			3210	2
6210010	Lankkutie 7	4352012	62100	3275296	244766	3	3297005	6990560	4071	0			3230	1
6210010	Lankkutie 16	5473217	62100	3570180	244766	3	3297022	6990516	4071	0			3250	1
6210010	Vanerikuja 4	4897466	62100	3451131	244766	3	3297074	6990569	4071	0			3270	1
6210010	Vanerikuja 3	4428668	62100	3451131	244766	3	3297074	6990569	4071	0			3280	2
6210010	Lankkutie 12	5582468	62100	3619846	244766	3	3297025	6990544	4071	0			3300	1
6210010	Lankkutie 6	5562353	62100	3619847	244766	3	3296998	6990620	4071	0			3320	1
6210010	Lankkutie 4	4754788	62100	3340394	244766	3	3296957	6990641	4071	0			3340	1
6210010	Lankkutie 1 B 3	4318346	62100	3021734	244766	3	3296936	6990669	4071	0			3360	1
6210010	Lankkutie 1 B 2	4312625	62100	3021734	244766	3	3296936	6990669	4071	0			3370	2
6210010	Lankkutie 1 B 1	4312624	62100	3021734	244766	3	3296936	6990669	4071	0			3380	3
6210010	Lankkutie 1 A 4	4320741	62100	3021734	244766	3	3296936	6990669	4071	0			3390	4
6210010	Lankkutie 1 A 3	4323438	62100	3021734	244766	3	3296936	6990669	4071	0			3400	5
6210010	Lankkutie 1 A 2	4323437	62100	3021734	244766	3	3296936	6990669	4071	0			3410	6
6210010	Lankkutie 1 A 1	4323436	62100	3021734	244766	3	3296936	6990669	4071	0			3420	7
6210010	Lastukuja 1	1695587	62100	703824	244766	3	3296903	6990759	4071	0			3440	1
6210010	Lastukuja 2	1695590	62100	703824	244766	3	3296903	6990759	4071	0			3450	2
